corpus_name,for 10% sample,for 20% sample,for 25% sample,for 30% sample
blog,0.0902214809873249,0.1804429619746498,0.22555370246831222,0.27066444296197467
news,0.08065110073382255,0.1613022014676451,0.20162775183455636,0.24195330220146763
twitter,0.07462975316877919,0.14925950633755838,0.18657438292194797,0.22388925950633756
